Mesto;Št. štev.;Tekmovalec;Kategorija;Klub;Država;Èas 2;Èas+
3.;141;Tisljar Mirko;OPEN;ORI;CRO;57:04;+23:31
4.;89;Omerzu Anja;OPEN;Maksimir;CRO;81:50;+48:17
5.;134;Holenda Karmen;OPEN;IME;CRO;118:49;+85:16
;75;Košturiæ Marko;OPEN;OK Jelen;CRO;dns;
;167;Vuzem Dino Thomas;OPEN;OK Sova;CRO;dns;

W12     (2520m, 110m)
1.;137;Tisljar Ana;W12;ORI;CRO;32:18;
2.;124;Pintariæ Anja;W12;IME;CRO;56:25;+24:07
3.;62;Ivanjko Gabrijela;W12;JAP;CRO;62:20;+30:02
4.;61;Jakopec Iva;W12;JAP;CRO;68:13;+35:55
5.;103;Pajèin Lana;W12;OK Sova;CRO;69:41;+37:23
6.;123;Maðariæ Iva;W12;IME;CRO;73:00;+40:42
7.;211;Srebaèiæ Ana;W12;IME;CRO;75:43;+43:25
8.;126;Lukac Hrvojka;W12;IME;CRO;79:24;+47:06
9.;125;Dolenc Iva;W12;IME;CRO;80:27;+48:09

W14     (2400m, 145m)
1.;56;Ocvirk Pia;W14;JAP;CRO;39:52;
2.;96;Košuljandiæ Iva;W14;TOR;CRO;63:37;+23:45
3.;32;Gobec Lea Katarina;W14;Vihor;CRO;75:34;+35:42
;104;Babiæ Mihaela;W14;OK Sova;CRO;dns;
;129;Novosel Katarina;W14;IME;CRO;mp;

W16     (2430m, 190m)
1.;20;Orehoci Roberta;W16;BJE;CRO;77:25;
;41;Spudiæ Valeria;W16;Vihor;CRO;mp;

W17-20     (2740m, 235m)
1.;25;Sokoloviæ Hana;W17-20;BJE;CRO;75:21;
2.;122;Iskra Ana;W17-20;OK Sova;CRO;105:51;+30:30

W21A     (3250m, 280m)
1.;99;Stepan Nikolina;W21A;TOR;CRO;52:51;
2.;22;Orliæ Antonija;W21A;BJE;CRO;62:28;+09:37
3.;49;Petranoviæ Barbara;W21A;RIS;CRO;67:21;+14:30
;59;Ocvirk Eva;W21A;JAP;CRO;dns;

W21B     (2400m, 145m)
1.;24;Šantiæ Nikolina;W21B;BJE;CRO;41:09;
2.;6;Koèila Mihaela;W21B;OKM;CRO;47:19;+06:10
3.;80;Kovaljesko Monika;W21B;KAP;CRO;48:24;+07:15
4.;74;Tkalèiæ Ivana;W21B;JAP;CRO;50:05;+08:56
5.;84;Kasaš Irena;W21B;KAP;CRO;58:05;+16:56
6.;47;Kušt Maja;W21B;Vihor;CRO;69:29;+28:20
7.;46;Stupalo Vlatka;W21B;Vihor;CRO;82:39;+41:30
;45;Pletikosa Zvjezdana;W21B;Vihor;CRO;dns;

W35     (2740m, 235m)
1.;35;Punek Gobec Neda;W35;Vihor;CRO;50:50;
2.;87;Jakšiæ Mirka;W35;Maksimir;CRO;57:33;+06:43
3.;9;Janžek Smiljana;W35;OKM;CRO;67:19;+16:29
4.;34;Lovrec Darinka;W35;Vihor;CRO;70:06;+19:16
5.;81;Haramija Marija;W35;KAP;CRO;104:15;+53:25
;67;Popoviæ Budi Daniela;W35;JAP;CRO;dns;

W45     (2280m, 160m)
1.;68;Fabek Branka;W45;JAP;CRO;74:12;
2.;27;Cvitkoviæ Maja;W45;Vihor;CRO;78:21;+04:09
3.;93;Vendler Èepelak Željka;W45;Maksimir;CRO;78:54;+04:42
4.;77;Ebenspanger Emilija;W45;KAP;CRO;81:07;+06:55
5.;78;Èuljak Gross Mladenka;W45;KAP;CRO;102:49;+28:37
;18;Sokoloviæ Alida;W45;BJE;CRO;mp;
