Mesto;Št. štev.;Tekmovalec;Kategorija;Klub;Država;Èas 1;Èas+
4.;;Juriæ Stjepan;OPEN;OK Sova;CRO;116:22;+46:50
5.;167;Vuzem Dino Thomas;OPEN;OK Sova;CRO;118:24;+48:52
6.;134;Holenda Karmen;OPEN;IME;CRO;156:12;+86:40
;141;Tisljar Mirko;OPEN;ORI;CRO;dnf;
;75;Košturiæ Marko;OPEN;OK Jelen;CRO;dnf;
;135;Štambuk Zdenka;OPEN;IME;CRO;mp;

W12     (1850m, 60m)
1.;137;Tisljar Ana;W12;ORI;CRO;36:16;
2.;62;Ivanjko Gabrijela;W12;JAP;CRO;59:13;+22:57
3.;61;Jakopec Iva;W12;JAP;CRO;71:05;+34:49
4.;103;Pajèin Lana;W12;OK Sova;CRO;79:20;+43:04

W14     (2260m, 90m)
1.;56;Ocvirk Pia;W14;JAP;CRO;49:34;
2.;;Reniæ Iva;W14;ORI;CRO;93:40;+44:06
3.;96;Košuljandiæ Iva;W14;TOR;CRO;101:38;+52:04
;104;Babiæ Mihaela;W14;OK Sova;CRO;dns;
;32;Gobec Lea Katarina;W14;Vihor;CRO;dns;

W16     (3220m, 130m)
1.;41;Spudiæ Valeria;W16;Vihor;CRO;55:38;
2.;20;Orehoci Roberta;W16;BJE;CRO;72:49;+17:11

W17-20     (3990m, 190m)
1.;122;Iskra Ana;W17-20;OK Sova;CRO;144:45;
;25;Sokoloviæ Hana;W17-20;BJE;CRO;mp;

W21A     (5520m, 260m)
1.;99;Stepan Nikolina;W21A;TOR;CRO;73:01;
2.;59;Ocvirk Eva;W21A;JAP;CRO;77:13;+04:12
3.;49;Petranoviæ Barbara;W21A;RIS;CRO;84:38;+11:37
4.;22;Orliæ Antonija;W21A;BJE;CRO;85:54;+12:53
5.;43;Sršen Matea;W21A;Vihor;CRO;96:16;+23:15

W21B     (3630m, 140m)
1.;24;Šantiæ Nikolina;W21B;BJE;CRO;52:48;
2.;80;Kovaljesko Monika;W21B;KAP;CRO;91:16;+38:28
3.;45;Pletikosa Zvjezdana;W21B;Vihor;CRO;96:58;+44:10
4.;46;Stupalo Vlatka;W21B;Vihor;CRO;113:10;+60:22
;47;Kušt Maja;W21B;Vihor;CRO;mp;

W35     (3780m, 160m)
1.;35;Punek Gobec Neda;W35;Vihor;CRO;69:40;
2.;9;Janžek Smiljana;W35;OKM;CRO;86:54;+17:14
3.;140;Renic Nikolina;W35;ORI;CRO;120:36;+50:56
4.;81;Haramija Marija;W35;KAP;CRO;129:01;+59:21
;87;Jakšiæ Mirka;W35;Maksimir;CRO;dns;
;67;Popoviæ Budi Daniela;W35;JAP;CRO;dns;

W45     (3160m, 130m)
1.;77;Ebenspanger Emilija;W45;KAP;CRO;70:27;
2.;27;Cvitkoviæ Maja;W45;Vihor;CRO;74:23;+03:56
3.;78;Èuljak Gross Mladenka;W45;KAP;CRO;86:32;+16:05
4.;18;Sokoloviæ Alida;W45;BJE;CRO;91:18;+20:51
5.;93;Vendler Èepelak Željka;W45;Maksimir;CRO;94:45;+24:18
6.;68;Fabek Branka;W45;JAP;CRO;110:48;+40:21
