"LAST NAME";"FIRST NAME";"CAT";"POINTS";"TIME";"FINISH";"CONTROLS";"TIME CONTROLS"
"Horjan";"Zdenko";"E";15;28;93,66;13;3
"Varnica";"Tomislav";"E";14;37;87,63;13;3
"Gobec";"Ivana";"E";14;40;87,58;13;3
"Tišljar";"Antun";"E";12;29;76;13;3
"Perkoviæ";"Dalibor";"E";12;31;75,96;13;3
"Cindriæ Perkoviæ";"Jasminka";"E";12;37;75,87;13;3
"Gobec";"Damir";"E";10;36;64,12;13;3
"Opaliæ";"Boško";"E";9;81;57,5;13;3
"Lovrec";"Nenad";"E";9;118;56,9;13;3
"Žužiæ";"Sanja";"E";9;150;56,37;13;3
"Lovrec";"Iva";"A";9;13;58,5;9;2
"Lovrec";"Mia";"A";9;32;58,04;9;2
"Gobec";"Jan";"A";4;83;27,38;9;2
