"Prezime";"Ime";"Vrijeme";"Klasifikator";"Dugo";"km";"m/u";"KT staze"
"Gobec";"Lea Katarina";"27:11";0;"Ž14";"1.7";100;10
"Vukadinoviæ";"Aleksandra";;1;"Ž14";"1.7";100;10
"Paraviæ";"Anton";"22:54";0;"M21B";"1.6";100;10
"Leovac";"Josip";"27:10";0;"M21B";"1.6";100;10
"Bertol";"Ivica";"27:24";0;"M21B";"1.6";100;10
"Gregov";"Aljoša";"28:40";0;"M21B";"1.6";100;10
"Cindriæ";"Hrvoje";"28:50";0;"M21B";"1.6";100;10
"Težak";"Robert";"29:07";0;"M21B";"1.6";100;10
"Pletikosa";"Dean";"33:09";0;"M21B";"1.6";100;10
"Aniæ";"Nikola";"34:51";0;"M21B";"1.6";100;10
"Opaliæ";"Boško";"1:08:13";0;"M21B";"1.6";100;10
"Delost";"Vedran";"24:05";3;"M21B";"1.6";100;10
"Kružiæ";"Tea";"19:06";0;"Ž21B";"1.5";100;11
"Stepan";"Valentina";"21:23";0;"Ž21B";"1.5";100;11
"Sršen";"Matea";"23:19";0;"Ž21B";"1.5";100;11
"Tkalèiæ";"Ivana";"27:29";0;"Ž21B";"1.5";100;11
"Živèiæ";"Neda";"31:42";0;"Ž21B";"1.5";100;11
"Petroviæ";"Tamara";"34:50";0;"Ž21B";"1.5";100;11
"Haramija";"Marija";"37:08";0;"Ž21B";"1.5";100;11
"Težak";"Ivana";"41:46";0;"Ž21B";"1.5";100;11
"Gložiniæ";"Sanja";"1:04:37";3;"Ž21B";"1.5";100;11
"Lovrec";"Nenad";"20:15";0;"M45";"1.8";115;14
"Gobec";"Karlo";"23:06";0;"M45";"1.8";115;14
"Perica";"Mladen";"26:45";0;"M45";"1.8";115;14
"Janžek";"Dražen";"28:40";0;"M45";"1.8";115;14
"Lukaèiæ";"Ivica";"32:56";0;"M45";"1.8";115;14
"Mihaljeviæ";"Nenad";"36:15";0;"M45";"1.8";115;14
"Witcher";"Amanda, Jeremy";"50:53";0;"M45";"1.8";115;14
"Jeliæ";"Mladen";"29:58";3;"M45";"1.8";115;14
"Sladiè";"Roman";;1;"M45";"1.8";115;14
"Cvitkoviæ";"Maja";"40:57";0;"Ž45";"1.4";75;12
"Sokoloviæ";"Alida";"59:12";0;"Ž45";"1.4";75;12
"Vendler Èepelak";"Željka";"1:00:42";0;"Ž45";"1.4";75;12
"Èuljak Gross";"Mladenka";"1:07:12";0;"Ž45";"1.4";75;12
"Pongrac";"Ivan";"25:20";0;"M55";"1.7";125;13
"Jasprica";"Damir";"29:23";0;"M55";"1.7";125;13
"Belaj";"Željko";"32:02";0;"M55";"1.7";125;13
"Krivokapiæ";"Antun Zoran";"33:07";0;"M55";"1.7";125;13
"Matijašiæ";"Josip";"49:35";0;"M55";"1.7";125;13
"Turkalj";"Milan";"35:47";0;"M65";"1.4";75;12
"Èepelak";"Radovan";"36:13";0;"M65";"1.4";75;12
"Vidoviæ";"Branko";"37:43";0;"M65";"1.4";75;12
"Debiæ";"Mladen";"56:44";0;"M65";"1.4";75;12
"Branoviæ";"Stanislav";"1:31:56";0;"M65";"1.4";75;12
