prezime,ime,vrijeme,klasifikator,kategorija,staza,uspon,kontrola
Rácz,Mátyás,11:15,0,M12,1.7,15,6
Vukelić,Juraj,11:43,0,M12,1.7,15,6
Kovács,Andris,12:21,0,M12,1.7,15,6
Nagy,Levente,14:54,0,M12,1.7,15,6
Eördögh,Levente,15:18,0,M12,1.7,15,6
Mézes,Botond Csegő,15:52,0,M12,1.7,15,6
Skopljak,David,16:45,0,M12,1.7,15,6
Martos,Csenger,18:00,0,M12,1.7,15,6
Tarsoly,Töhötöm Tas,22:36,0,M12,1.7,15,6
Kobijak,Karlo,28:00,0,M12,1.7,15,6
Strmečki,Vibor,31:06,0,M12,1.7,15,6
Radovanović,Mislav,31:23,0,M12,1.7,15,6
Kuzmanić,Borna,31:34,0,M12,1.7,15,6
Hlad,Leon,,1,M12,1.7,15,6
Jelinić,Mark,,1,M12,1.7,15,6
Salopek,Tihon,28:56,0,M14,3.5,145,8
Kovács,Sebestyén,32:26,0,M14,3.5,145,8
Fülöp,Álmos Huba,36:49,0,M14,3.5,145,8
Hargitai,Barnabás,41:30,0,M14,3.5,145,8
Krikler,Zalán,47:25,0,M14,3.5,145,8
Simon,Ádám,49:42,0,M14,3.5,145,8
Egédi,Gergö,84:01,0,M14,3.5,145,8
Radovanović,Vanja,,1,M14,3.5,145,8
Erki,Ármin,,1,M14,3.5,145,8
Szuromi,Áron,49:03,0,M16,5.8,215,15
Szuhán,Gábor,63:15,0,M16,5.8,215,15
Bognár,Zoltán,70:16,0,M16,5.8,215,15
Gobec,Jan,72:21,0,M16,5.8,215,15
Gyenizse-Nagy,András,73:46,0,M16,5.8,215,15
Werner,Bendegúz,78:01,0,M16,5.8,215,15
Kukec,Jura,80:56,0,M16,5.8,215,15
Kodba,Vid,138:31,0,M16,5.8,215,15
Husznai,Gellért,,1,M16,5.8,215,15
Marković,Rudi,,1,M16,5.8,215,15
Tutić,Teo,,1,M16,5.8,215,15
Kovács,Barnabás,73:33,0,M20,8.6,350,17
Ormándi,Lázár,73:52,0,M20,8.6,350,17
Štambuk,Andro Vladimir,78:34,0,M20,8.6,350,17
Vozár,Mátyás,82:37,0,M20,8.6,350,17
Ortmann,András,109:42,0,M20,8.6,350,17
Cvetković,Filip,109:49,0,M20,8.6,350,17
Težak,Karlo,114:13,0,M20,8.6,350,17
Kovács,Mátyás,126:22,0,M20,8.6,350,17
Puharić,Roko,185:55,0,M20,8.6,350,17
Sirakov,Ivan,81:58,0,M21A,12.1,570,25
Štanfel,Matjaž,84:50,0,M21A,12.1,570,25
Razum,Matija,92:01,0,M21A,12.1,570,25
Zhelyazkov,Dimitar,92:46,0,M21A,12.1,570,25
Yordanov,Stefan,95:42,0,M21A,12.1,570,25
Kirin,Dominik,97:32,0,M21A,12.1,570,25
Shishkov,Valentin,97:58,0,M21A,12.1,570,25
Baumholczer,Máté,98:11,0,M21A,12.1,570,25
Vonyó,Péter,107:44,0,M21A,12.1,570,25
Ivković,Luka,111:47,0,M21A,12.1,570,25
Werner,Péter,116:54,0,M21A,12.1,570,25
Despetović,Tihomir,120:41,0,M21A,12.1,570,25
Čapeta,Davor,122:46,0,M21A,12.1,570,25
Filetin,Luka,133:00,0,M21A,12.1,570,25
Gobec,Damir,149:03,0,M21A,12.1,570,25
Horvat,Lobel,160:28,0,M21A,12.1,570,25
Horvat,Vjeran,189:29,0,M21A,12.1,570,25
Karavidović,Luka,92:45,0,M21B,5.8,255,12
Perica,Petar,107:00,0,M21B,5.8,255,12
Šantić,Domagoj,118:43,0,M21B,5.8,255,12
Tutić,Dražen,131:44,0,M21B,5.8,255,12
Kaniški,Robert,163:49,0,M21B,5.8,255,12
Tipurić,Ante,150:04,3,M21B,5.8,255,12
Kelava,Branimir,153:03,3,M21B,5.8,255,12
Pavlin,Domagoj,62:00,2,M21B,5.8,255,12
Hlad,Matija,,1,M21B,5.8,255,12
Odžić,Josip,,1,M21B,5.8,255,12
Salopek,Tihomir,69:53,0,M35,8.2,335,16
Legac,Lino,70:12,0,M35,8.2,335,16
Ocvirk,Edi,71:55,0,M35,8.2,335,16
Kaniški,Tomislav,73:11,0,M35,8.2,335,16
Pongrac,Branimir,80:03,0,M35,8.2,335,16
Orehoci,Robert,80:41,0,M35,8.2,335,16
Topán,László,84:02,0,M35,8.2,335,16
Budi,Franjo,85:05,0,M35,8.2,335,16
Delić,Petar,85:33,0,M35,8.2,335,16
Vuk,Tomislav,88:42,0,M35,8.2,335,16
Delgado,Francisco,104:05,0,M35,8.2,335,16
Meštrović,Tomislav,108:29,0,M35,8.2,335,16
Koščak,Željko,113:22,0,M35,8.2,335,16
Canjuga,Krunoslav,121:20,0,M35,8.2,335,16
Rihter,Goran,124:15,0,M35,8.2,335,16
Jelinić,Hrvoje,142:25,0,M35,8.2,335,16
Truhlaž,Miodrag,153:50,0,M35,8.2,335,16
Nagy,Gergż,131:12,3,M35,8.2,335,16
Sovilj,Dalibor,,2,M35,8.2,335,16
Vodopija,Goran,,1,M35,8.2,335,16
