OE0012;Rajtsz;Xrajtsz;Dugószám;Adatbázis Id;Családnév;Utónév;Szül;FN;Blokk;Vk;Rajt;Cél;Idõ;Érvényes;Jóváírás -;Büntetés +;Megj.;Klub sorsz.;Név;Város;Orsz;Helység;Régió;Kat. sorsz.;Rövid;Hosszú;Nev.kat. sorsz.;Nevezési kateg (rövid);Nevezési kateg (hosszú);Rangsorhely;Rangsorpont;Num1;Num2;Num3;Text1;Text2;Text3;Cím családnév;Cím utónév;Utca;2. sor;Irsz;Cím város;Tel;Mobil;Fax;Email;Bérelt;Nevezési díj;Fizetve;Csapat;Pálya sorszám;Pálya;km;m;Pálya pontjai;Helyezés;
;;;1396289;"377242";"Rácz";"Mátyás";;M;;0;38:00;52:45;14:45;0;;;"";66716;"Pécsi Vasutas SK";"Pécsi Vasutas SK";"HUN";"";"";1;"M12";"M12";1;"M12";"M12";;;;;;"";"";"";;;;;;;;;;;0;"0,00";0;;1;1;"1,7";50;6;1;
;;;406735;"382307";"Vukeliæ";"Juraj";2006;M;;0;68:00;83:00;15:00;0;;;"";66481;"OK Maksimir";"OK Maksimir";"CRO";"";"";1;"M12";"M12";1;"M12";"M12";;;;;;"";"";"";;;;;;;;;;;0;"0,00";0;;1;1;"1,7";50;6;2;
;;;1006652;"361546";"Kovács";"Andris";2005;M;;0;46:00;61:28;15:28;0;;;"";63909;"C.S. TranSilva C";"C.S. TranSilva Cluj";"ROU";"";"";1;"M12";"M12";1;"M12";"M12";;;;;;"";"";"";;;;;;;;;;;0;"0,00";0;;1;1;"1,7";50;6;3;
;;;1396281;"383941";"Eördögh";"Levente";;M;;0;62:00;78:48;16:48;0;;;"";66716;"Pécsi Vasutas SK";"Pécsi Vasutas SK";"HUN";"";"";1;"M12";"M12";1;"M12";"M12";;;;;;"";"";"";;;;;;;;;;;0;"0,00";0;;1;1;"1,7";50;6;4;
;;;1396287;"383950";"Martos";"Csenger";;M;;0;52:00;70:00;18:00;0;;;"";66716;"Pécsi Vasutas SK";"Pécsi Vasutas SK";"HUN";"";"";1;"M12";"M12";1;"M12";"M12";;;;;;"";"";"";;;;;;;;;;;0;"0,00";0;;1;1;"1,7";50;6;5;
;;;2048851;"373989";"Tarsoly";"Töhötöm Tas";;M;;0;50:00;70:25;20:25;0;;;"";63904;"Göcsej KTFE";"Göcsej KTFE";"HUN";"";"";1;"M12";"M12";1;"M12";"M12";;;;;;"";"";"";;;;;;;;;;;0;"0,00";0;;1;1;"1,7";50;6;6;
;;;2022173;"372994";"Nagy";"Levente";;M;;0;44:00;65:23;21:23;0;;;"";63904;"Göcsej KTFE";"Göcsej KTFE";"HUN";"";"";1;"M12";"M12";1;"M12";"M12";;;;;;"";"";"";;;;;;;;;;;0;"0,00";0;;1;1;"1,7";50;6;7;
;;;237592;"377145";"Skopljak";"David";;M;;0;60:00;81:31;21:31;0;;;"";66206;"OK Japetic";"OK Japetic";"CRO";"";"";1;"M12";"M12";1;"M12";"M12";;;;;;"";"";"";;;;;;;;;;;0;"0,00";0;;1;1;"1,7";50;6;8;
;;;435468;"380497";"Strme¿ki";"Vibor";;M;;0;54:00;78:22;24:22;0;;;"";66481;"OK Maksimir";"OK Maksimir";"CRO";"";"";1;"M12";"M12";1;"M12";"M12";;;;;;"";"";"";;;;;;;;;;;0;"0,00";0;;1;1;"1,7";50;6;9;
;;;1401006;"371836";"Kobijak";"Karlo";2005;M;;0;72:00;97:16;25:16;0;;;"";65707;"OK Sova";"OK Sova";"CRO";"";"";1;"M12";"M12";1;"M12";"M12";;;;;;"";"";"";;;;;;;;;;;0;"0,00";0;;1;1;"1,7";50;6;10;
