"prezime";"ime";"vrijeme";"klasifikator";"kategorija";"staza";"uspon";"kontrola"
"Težak";"Karlo";"25:13";0;"M12";"1.7";60;7
"Gobec";"Timo";"29:19";0;"M12";"1.7";60;7
"Gobec";"Jan";"32:37";0;"M12";"1.7";60;7
"Jakopec";"Matej";"40:08";0;"M12";"1.7";60;7
"Pejèinoviæ";"Luka";"51:18";0;"M12";"1.7";60;7
"Bunjaèki";"Petar";;1;"M12";"1.7";60;7
"Bunjaèki";"Karlo";;1;"M12";"1.7";60;7
"Tisljar";"Ana";"20:31";0;"Ž12";"1.7";60;7
"Ivanjko";"Gabrijela";"27:20";0;"Ž12";"1.7";60;7
"Pajèin";"Lana";"43:22";0;"Ž12";"1.7";60;7
"Maðariæ";"Iva";;1;"Ž12";"1.7";60;7
"Jakopec";"Iva";;1;"Ž12";"1.7";60;7
"Vékony";"Janka";;1;"Ž12";"1.7";60;7
"Štambuk";"Andro Vladimir";"23:19";0;"M14";"2.0";80;9
"Tisljar";"Antun";"24:23";0;"M14";"2.0";80;9
"Puhariæ";"Roko";"26:21";0;"M14";"2.0";80;9
"Cvetkoviæ";"Filip";"28:15";0;"M14";"2.0";80;9
"Merkaš";"Branimir";"30:16";0;"M14";"2.0";80;9
"Matkoviæ";"Dominik";"35:05";0;"M14";"2.0";80;9
"Lehpamer";"Lovro";"36:23";0;"M14";"2.0";80;9
"Kuèinac";"Matija";"37:05";0;"M14";"2.0";80;9
"Karloviæ";"Luka";"1:13:03";0;"M14";"2.0";80;9
"Kužir";"Petar";;1;"M14";"2.0";80;9
"Babiæ";"Domagoj";"43:16";0;"M14";"2.0";80;9
"Ocvirk";"Pia";"18:43";0;"Ž14";"2.0";80;9
"Lovrec";"Mia";"23:07";0;"Ž14";"2.0";80;9
"Koiæ";"Marija";"25:21";0;"Ž14";"2.0";80;9
"Košuljandiæ";"Iva";"31:27";0;"Ž14";"2.0";80;9
"Babiæ";"Mihaela";"1:45:50";0;"Ž14";"2.0";80;9
"Gobec";"Lea Katarina";;1;"Ž14";"2.0";80;9
"Vékony";"Vanda";;1;"Ž14";"2.0";80;9
"Mihaljeviæ";"Luka";"29:07";0;"M16";"2.4";120;11
"Medaniæ";"David";"45:17";0;"M16";"2.4";120;11
"Borisavljeviæ";"Karlo";"47:43";0;"M16";"2.4";120;11
"Orehoci";"Roberta";"30:06";0;"Ž16";"2.3";75;10
